date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:16	23776/23776	---M--	200	added ('OK')	font/woff	etag:%2269834cd3-5ce0%22	http://cdn2.editmysite.com/fonts/Questrial/regular.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Questrial/regular.woff	(from http://cdn2.editmysite.com/fonts/Questrial/font.css?2)
13:12:18	46416/46416	---M-Z	200	added ('OK')	application/octet-stream	etag:%22697b7a96-b550%22	http://cdn2.editmysite.com/fonts/Questrial/regular.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Questrial/regular.ttf	(from http://cdn2.editmysite.com/fonts/Questrial/font.css?2)
13:12:19	18842/18842	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697b7a95-499a%22	http://cdn2.editmysite.com/fonts/Cabin/regular.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/regular.eot	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
13:12:19	27720/27720	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226972491f-6c48%22	http://cdn2.editmysite.com/fonts/Lato/italic.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:20	26118/26118	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-6606%22	http://cdn2.editmysite.com/fonts/Lato/bold.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:20	15476/15476	---M--	200	added ('OK')	font/woff2	etag:%226972491f-3c74%22	http://cdn2.editmysite.com/fonts/Cabin/regular.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/regular.woff2	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
13:12:22	19916/19916	---M--	200	added ('OK')	font/woff	etag:%226972491f-4dcc%22	http://cdn2.editmysite.com/fonts/Cabin/regular.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/regular.woff	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
13:12:23	18413/18413	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa6-47ed%22	http://cdn2.editmysite.com/fonts/Cabin/bold.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/bold.eot	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
13:12:23	35700/35700	---M-Z	200	added ('OK')	application/octet-stream	etag:%226972491f-8b74%22	http://cdn2.editmysite.com/fonts/Cabin/regular.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/regular.ttf	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
13:12:23	18413/18413	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-47ed%22	http://cdn2.editmysite.com/fonts/Cabin/bold.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
13:12:25	15168/15168	---M--	200	added ('OK')	font/woff2	etag:%22697bd451-3b40%22	http://cdn2.editmysite.com/fonts/Cabin/bold.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Cabin/bold.woff2	(from http://cdn2.editmysite.com/fonts/Cabin/font.css?2)
